"id","legislature_id","summary_type","party_group_id","diff_percentage"
"__export__.plain_result_abs_diff_619_0766021a","","Sevilla","IA (RIN)","1.7081584103681582"
"__export__.plain_result_abs_diff_620_3a2ade65","","Andalucía","IA (RIN)","1.856365828322371"
"__export__.plain_result_abs_diff_621_158c0fdc","","Sevilla","IT (RIN)","7.821032079525587"
"__export__.plain_result_abs_diff_622_72ab266f","","Andalucía","IT (RIN)","14.39089131048096"
"__export__.plain_result_abs_diff_623_6bcef36e","","Sevilla","DER (RIN)","-10.254815392029712"
"__export__.plain_result_abs_diff_624_46638f40","","Andalucía","DER (RIN)","-17.26130189853346"
"__export__.plain_result_abs_diff_625_310ac4d6","","Sevilla","IA (RIN)","0.40355541170821496"
"__export__.plain_result_abs_diff_626_5536b227","","Andalucía","IA (RIN)","1.322538233053054"
"__export__.plain_result_abs_diff_627_a617a90c","","Sevilla","IT (RIN)","9.132422793220336"
"__export__.plain_result_abs_diff_628_6dd1758d","","Andalucía","IT (RIN)","15.21992647837925"
"__export__.plain_result_abs_diff_629_39cc0216","","Sevilla","DER (RIN)","-12.51172459538471"
"__export__.plain_result_abs_diff_630_e93e1c2b","","Andalucía","DER (RIN)","-17.26087393867005"
"__export__.plain_result_abs_diff_631_93c50257","","Sevilla","IA (RIN)","5.444831401996392"
"__export__.plain_result_abs_diff_632_82b2da48","","Andalucía","IA (RIN)","7.454057952827309"
"__export__.plain_result_abs_diff_633_b50d923f","","Sevilla","IT (RIN)","6.981196423798437"
"__export__.plain_result_abs_diff_634_42effa1c","","Andalucía","IT (RIN)","9.721119216252852"
"__export__.plain_result_abs_diff_635_33925dd3","","Sevilla","DER (RIN)","-12.682375140559042"
"__export__.plain_result_abs_diff_636_93724558","","Andalucía","DER (RIN)","-17.9123677313661"
"__export__.plain_result_abs_diff_637_afa825ea","","Sevilla","IA (RIN)","5.177502664963246"
"__export__.plain_result_abs_diff_638_516424a8","","Andalucía","IA (RIN)","7.386395644399787"
"__export__.plain_result_abs_diff_639_bbfdbf76","","Sevilla","IT (RIN)","7.0929376202889145"
"__export__.plain_result_abs_diff_640_1f990aad","","Andalucía","IT (RIN)","10.114037231659434"
"__export__.plain_result_abs_diff_641_152d8ebb","","Sevilla","DER (RIN)","-11.949333933948012"
"__export__.plain_result_abs_diff_642_662dac4d","","Andalucía","DER (RIN)","-16.85067778031634"
"__export__.plain_result_abs_diff_643_35ead430","","Sevilla","IA (RIN)","3.6722485050035445"
"__export__.plain_result_abs_diff_644_23ebe3cc","","Andalucía","IA (RIN)","5.610624956487328"
"__export__.plain_result_abs_diff_645_0415db20","","Sevilla","IT (RIN)","7.806164760785947"
"__export__.plain_result_abs_diff_646_9a7292a6","","Andalucía","IT (RIN)","10.76913215567049"
"__export__.plain_result_abs_diff_647_0c2e646b","","Sevilla","DER (RIN)","-12.096750912895317"
"__export__.plain_result_abs_diff_648_a0b12183","","Andalucía","DER (RIN)","-17.38280305442725"
"__export__.plain_result_abs_diff_649_9915ee60","","Sevilla","IA (RIN)","4.452330940089116"
"__export__.plain_result_abs_diff_650_66a8e517","","Andalucía","IA (RIN)","6.871369471010162"
"__export__.plain_result_abs_diff_651_631b2f21","","Sevilla","IT (RIN)","6.936181156383562"
"__export__.plain_result_abs_diff_652_7634fdb1","","Andalucía","IT (RIN)","9.803194766994444"
